aae_text,sae_text,aae_context,aae_continuation,sae_context,sae_continuation
I'm tryna be cool but the fact that I didn't get a text yet is pissing me tf off.,"I’m trying to stay calm, but the fact that I haven’t received a text yet is really making me upset.",I ' m tryna be cool but the,fact that I didn ' t get a text yet is pissing me tf off .,I ’ m trying to stay,"calm , but the fact that I haven ’ t received a text yet is really making me upset ."
My bf and jasmine lil ugly ass if they don't call me I'm blowing at they ass,"My boyfriend and Jasmine, with their little ugly selves—if they don't call me, I'm going to go off on them.",My bf and jasmine lil ugly ass,if they don ' t call me I ' m blowing at they ass,"My boyfriend and Jasmine , with their little ugly selves","— if they don ' t call me , I ' m going to go off on them ."
She got a man but I can take her but I'm not on that I'm going 2 wait into she ready,"She has a boyfriend, but I could win her over. However, I'm not pursuing that right now; I'm going to wait until she is ready.",She got a man but I can take her but I ',m not on that I ' m going 2 wait into she ready,"She has a boyfriend , but I could win her over . However , I ' m not pursuing that",right now ; I ' m going to wait until she is ready .
She know she want me as bad as I want her she playing hard 2 get I like to work 4 wat I want,She knows she wants me as much as I want her. She’s playing hard to get. I like to work for what I want.,She know she want me as bad as I want her she playing hard,2 get I like to work 4 wat I want,She knows she wants me as much as I want her . She ’ s playing hard to get . I,like to work for what I want .
No wat who ever I want my twifey to be Im going to dm them,"No matter who I want my wifey to be, I am going to direct message them.",No wat who ever I want my twifey to be,Im going to dm them,"No matter who I want my wifey to be , I am going",to direct message them .
Don't u never called me so u don't like me that much so save that shit nbs,"You never call me, so you must not like me that much. So save that stuff, for real.",Don ' t u never called me so u don ' t like me,that much so save that shit nbs,"You never call me , so you must not like me that much . So save","that stuff , for real ."
If u stay yo ass in that house u don't have a man on my life,"If you stay in that house, you don't have a man, I swear.",If u stay yo ass in that house u don ' t have,a man on my life,"If you stay in that house , you don ' t have","a man , I swear ."
Smh I hate to see her talk like that most girls ant got half of wat u got,"Shaking my head, I hate to see her talk like that. Most girls don’t have half of what you have.",Smh I hate to see her talk like that most girls ant,got half of wat u got,"Shaking my head , I hate to see her talk like that . Most girls don ’ t",have half of what you have .
aw OK thought somebody piss my Lil homie off about to smoke they ass,"Oh, okay. I thought someone upset my little friend—I was about to confront them.",aw OK thought somebody,piss my Lil homie off about to smoke they ass,"Oh , okay . I thought",someone upset my little friend — I was about to confront them .
Your shit been hacked by brandy  fuck the. Oops and y'all thotz now who mad,"Your account has been hacked by Brandy. Forget it. Oops, and you all are upset now—who’s mad?",Your shit been hacked,by brandy fuck the . Oops and y ' all thotz now who mad,Your account has been hacked by,"Brandy . Forget it . Oops , and you all are upset now — who ’ s mad ?"
Dame that's fuck up Cuz told like 5 bitches we go together and they on here lmao iiiiiiiiiiiiiiiiiight,"Damn, that's messed up. He told like five women that we're together, and they're on here. Lmao, alright.",Dame that ' s,fuck up Cuz told like 5 bitches we go together and they on here lmao iiiiiiiiiiiiiiiiiight,"Damn , that ' s","messed up . He told like five women that we ' re together , and they ' re on here . Lmao , alright ."
on my life bitch I'm done talking to yo lame ass call a nigga fuck u talking about,"I swear, I'm done talking to your lame self. Call someone else, forget what you're talking about.",on my life bitch,I ' m done talking to yo lame ass call a nigga fuck u talking about,"I swear , I '","m done talking to your lame self . Call someone else , forget what you ' re talking about ."
I'm always lacking ant nobody going to do shit on my life silly ass hoes,"I'm always lacking and nobody is going to do anything to me, I swear, silly ass hoes.",I ' m always lacking ant,nobody going to do shit on my life silly ass hoes,I ' m always lacking and nobody is,"going to do anything to me , I swear , silly ass hoes ."
I'm so high and this trying to smoke my cuz wild ass hell I'm about to ko on his ass,I’m really high and my cousin is trying to smoke with me—he’s so wild. I’m about to pass out on him.,I ' m so high and this trying to smoke my cuz wild ass hell I ' m about,to ko on his ass,I ’ m really high and my cousin is trying to smoke with me — he ’ s so wild . I ’ m about to pass,out on him .
u know it I'm about to smoke that pack Cuz all u do is smoke mid lol,"You know it, I’m about to smoke that pack because all you do is smoke mediocre weed, lol.",u know it I ' m about to,smoke that pack Cuz all u do is smoke mid lol,"You know it , I","’ m about to smoke that pack because all you do is smoke mediocre weed , lol ."
u trying to smoke right now I got that pack this shit will make u 4get yo name,Are you trying to smoke right now? I have some good stuff—this will make you forget your name.,u trying to smoke right now I got that pack this shit will,make u 4get yo name,Are you trying to smoke right now ?,I have some good stuff — this will make you forget your name .
u a fool boi weak keef and never better then my homie black,"You’re a fool, boy. Keef is weak and never better than my friend Black.",u a fool boi weak,keef and never better then my homie black,You ’ re a,"fool , boy . Keef is weak and never better than my friend Black ."
gbek we jojo world bitch u will get yo lil ass smoked,"This is Jojo World, bitch. You will get your little ass shot.",gbek we jojo world,bitch u will get yo lil ass smoked,"This is Jojo World ,",bitch . You will get your little ass shot .
had a feeling yo bitch ass was going to say something lame ass hell fufu ass nigga,"I had a feeling your cowardly self was going to say something really lame, fake person.",had a feeling yo,bitch ass was going to say something lame ass hell fufu ass nigga,I had a feeling your cowardly self was going to say,"something really lame , fake person ."
Other then that fuck u nigga and bitches Cuz I don't trust none and I will blow at who ever I don't give a fuck,"Other than that, fuck you and everyone else because I don't trust anyone, and I will go off on whoever—I don't care.",Other then that fuck u nigga and bitches Cuz I don ' t trust none and I,will blow at who ever I don ' t give a fuck,"Other than that ,","fuck you and everyone else because I don ' t trust anyone , and I will go off on whoever — I don ' t care ."
""":  it's also official Dboy coming he verified it but still get on the bus lol I talkd 2 him yesturday but Ight""",""":  It's also official—Dboy is coming; he confirmed it. But still, get on the bus, haha. I talked to him yesterday, but alright.""",""" : it ' s also","official Dboy coming he verified it but still get on the bus lol I talkd 2 him yesturday but Ight """,""" : It ' s also","official — Dboy is coming ; he confirmed it . But still , get on the bus , haha . I talked to him yesterday , but alright . """
#MidddleSchoolMemories When me and Malcolm stay getting in trouble because we was packing on each other,#MiddleSchoolMemories When Malcolm and I kept getting in trouble because we were joking around with each other,# MidddleSchoolMemories When me and Malcolm stay getting in trouble because we,was packing on each other,# MiddleSchoolMemories When Malcolm and I kept getting in trouble because,we were joking around with each other
I know you aint seen me in so long but if you think that i been gone you dead wrong!!!Cuz i was getting back to the money! #BACK2DA$$$,"I know you haven’t seen me in a long time, but if you think I’ve been gone, you’re completely wrong! Because I was getting back to making money! #BACK2THEMONEY",I know you aint seen me in so long but if you think that i been gone you dead wrong ! ! ! Cuz i was getting back to,the money ! # BACK2DA $ $ $,I know you haven ’ t seen,"me in a long time , but if you think I ’ ve been gone , you ’ re completely wrong ! Because I was getting back to making money ! # BACK2THEMONEY"
Bitches who money hungry ....watchn black ink crew she want his ass locked up smh,"Women who are money hungry... watching Black Ink Crew, she wants him to be locked up, shaking my head.",Bitches who money hungry . . . . watchn black ink crew she want,his ass locked up smh,"Women who are money hungry . . . watching Black Ink Crew , she wants him to be locked up",", shaking my head ."
hey sis! I feel like I haven't talked to or see u in a while! Just wanted to let I know that I love u! Happy New Year!,Hey sis! I feel like I haven’t talked to or seen you in a while! Just wanted to let you know that I love you! Happy New Year!,hey sis ! I feel like I haven ' t talked to or see u in a while ! Just wanted to let I know that I love u !,Happy New Year !,Hey sis ! I feel like I haven ’ t talked to or seen you in a while ! Just wanted to let you know that,I love you ! Happy New Year !
"""The Bible also says If my people, who r called by my name would humble themselves & pray, seek my face & TURN FROM THEIR WICKED WAYS...""","The Bible also says, ""If my people, who are called by my name, would humble themselves and pray, seek my face, and turn from their wicked ways...""",""" The Bible also says If my people , who r called by my name would humble themselves & pray , seek my face & TURN FROM THEIR WICKED","WAYS . . . ""","The Bible also says , "" If my people , who are called by my name , would humble themselves and pray , seek my face , and turn from their","wicked ways . . . """
...wouldn't care as much as he do!!! Stay with God & he'll take u far!!!,...wouldn't care as much as he does! Stay with God and He will take you far!,. . . wouldn ' t care as much as he do ! !,! Stay with God & he ' ll take u far ! ! !,. . . wouldn ' t care as much as he does !,Stay with God and He will take you far !
"""There's a whoooole lot of stuff on TV tonight!!! , Stellar show on TBN, & Scandal!!!""","There’s a whole lot of things on TV tonight! , the Stellar Awards on TBN, and Scandal!",""" There ' s a whoooole","lot of stuff on TV tonight ! ! ! , Stellar show on TBN , & Scandal ! ! ! """,There ’ s a,"whole lot of things on TV tonight ! , the Stellar Awards on TBN , and Scandal !"
"""SO... Um... I have a gig in a few mins & I chose to get dressed in front of the TV, but now my mom & dad took seat where I am! UGH!""","SO... Um... I have a gig in a few minutes and I chose to get dressed in front of the TV, but now my mom and dad have taken the spot where I am! UGH!",""" SO . . . Um . . . I have","a gig in a few mins & I chose to get dressed in front of the TV , but now my mom & dad took seat where I am ! UGH ! """,SO . . . Um . .,". I have a gig in a few minutes and I chose to get dressed in front of the TV , but now my mom and dad have taken the spot where I am ! UGH !"
Ok Children... I'm about to get in the car & be omw to my gig!!!! I love y'all!!! I will talk to u all later! TTYL,"Alright everyone, I’m about to get in the car and be on my way to work! I love you all! I’ll talk to you all later! Talk to you later.",Ok Children . . .,I ' m about to get in the car & be omw to my gig ! ! ! ! I love y ' all ! ! ! I will talk to u all later ! TTYL,"Alright everyone , I ’ m about to get in",the car and be on my way to work ! I love you all ! I ’ ll talk to you all later ! Talk to you later .
"""Because I'm human, I have my worries... I get stressed out, I deal with crap! Yes, I do pray, but I still have my tantrums! lolol""","Because I’m human, I have my worries... I get stressed out, I deal with problems! Yes, I do pray, but I still have my outbursts! lol",""" Because I ' m human , I have my worries . . . I get stressed out , I deal with crap ! Yes , I do pray , but I","still have my tantrums ! lolol ""","Because I ’ m human , I have","my worries . . . I get stressed out , I deal with problems ! Yes , I do pray , but I still have my outbursts ! lol"
Before u get your shine on you gotta get you r grind I ain't got time to be lying on my shit,"Before you can show off your success, you have to put in the hard work. I don’t have time to be dishonest about what I’m doing.",Before u get your,shine on you gotta get you r grind I ain ' t got time to be lying on my shit,"Before you can show off your success , you have to put in the hard work . I don ’ t have time to be dishonest about what I",’ m doing .
See how u do? You know if I had it I woulda got for us. I'm talking $7 dam,"See how you are? You know if I had it, I would have gotten it for us. I'm talking about seven dollars, damn.",See how u do ? You,know if I had it I woulda got for us . I ' m talking $ 7 dam,See how you are,"? You know if I had it , I would have gotten it for us . I ' m talking about seven dollars , damn ."
Wat up lebron. J dis ya boy tre yo biggest fan i look up tu ya :-),"Hello LeBron. This is your boy Tre, your biggest fan. I look up to you :-)",Wat up lebron . J dis ya boy tre yo biggest fan i look up tu,ya : - ),"Hello LeBron . This is your boy Tre , your biggest fan . I look",up to you : - )
I knew what ii was on ii had a pilot jones she took meh high then she took meh home what yhu talkin bout pilot jones pilo jones,"I knew what I was on—I had a pilot Jones. She took me high, then she took me home. What are you talking about? Pilot Jones, pilot Jones.",I knew what ii was,on ii had a pilot jones she took meh high then she took meh home what yhu talkin bout pilot jones pilo jones,I knew what I,"was on — I had a pilot Jones . She took me high , then she took me home . What are you talking about ? Pilot Jones , pilot Jones ."
diamond that was just foul ii mean my D will not beh for a nigga bcuz I'm not gayv,"Diamond, that was just foul. I mean, my actions won’t be for a guy because I’m not gay.",diamond that was just foul,ii mean my D will not beh for a nigga bcuz I ' m not gayv,"Diamond , that was just foul",". I mean , my actions won ’ t be for a guy because I ’ m not gay ."
Lol damn riney like meh nah ii was knock tf out 5th period nd that's PE,"Lol, wow, Riney was like, ""Nah, I was completely knocked out during fifth period—and that was P.E.""",Lol damn riney like meh nah ii was,knock tf out 5th period nd that ' s PE,"Lol , wow , Riney was like , "" Nah , I was completely knocked out","during fifth period — and that was P . E . """
He brag on my intelligence nd athletic ability but when ii need some he lie or won't do it,"He brags about my intelligence and athletic ability, but when I need something, he lies or won’t do it.",He brag on my intelligence nd athletic ability but when ii need some he lie or,won ' t do it,"He brags about my intelligence and athletic ability , but when I need something , he lies or won ’",t do it .
Dymond yo ManeMane a lame ahh nigga tho he don't need. TO HAVE MY NAME,"Dymond, your boyfriend is a lame guy though. He doesn’t need to have my name.",Dymond yo ManeMane a lame ahh nigga tho he don ' t need,. TO HAVE MY NAME,"Dymond , your boyfriend is a lame guy though . He doesn ’ t",need to have my name .
The white people eht my school weird ii mean yhu can try to talk to them but they act like yhu contagious,"The white people at my school are weird. I mean, you can try to talk to them, but they act like you’re contagious.",The white people eht,my school weird ii mean yhu can try to talk to them but they act like yhu contagious,"The white people at my school are weird . I mean , you can try to talk to them , but they act like",you ’ re contagious .
Girl ii might beh 21 but ii got memories to prove that ii seen your cans before nd iknoo exactly what yhu want,"Girl, I might be 21, but I have memories to prove that I’ve seen your tricks before and I know exactly what you want.",Girl ii might beh 21 but ii got memories to prove that ii seen your cans before nd,iknoo exactly what yhu want,"Girl , I might be 21 , but I have memories to prove that I ’ ve seen your tricks before and I know",exactly what you want .
Iknoo that ain't yhu with that dissin homie that's wy ii never replied just let em live on it,"I know that isn’t you making those disrespectful comments, that’s why I never responded—I just let them have it.",Iknoo that ain ' t yhu with that dissin homie that ' s wy ii never replied,just let em live on it,"I know that isn ’ t you making those disrespectful comments , that ’ s why I never responded — I just let",them have it .
Ion kno wy nighas the just bcuz I'm on twitter arguin with them they think I'm weak smh,"I don't know why people think that just because I'm on Twitter arguing with them, they think I'm weak. Shaking my head.",Ion kno wy nighas the just bcuz I ' m on twitter arguin with them they think,I ' m weak smh,I don ' t know why people think that just because I ' m on Twitter,"arguing with them , they think I ' m weak . Shaking my head ."
mane fuck it bruh ii want my round fuck this twitter arguin jus kno we bangin no mo wy tweets or slick shyt EHT ALL,"man, forget it bro, I want my fight. Forget this arguing on Twitter—just know we’re not friends anymore. No more tweets or slick stuff, that’s it.",mane fuck it bruh ii want my round fuck this,twitter arguin jus kno we bangin no mo wy tweets or slick shyt EHT ALL,"man , forget it bro , I want my fight . Forget this arguing on Twitter — just know we ’ re not friends anymore . No more tweets","or slick stuff , that ’ s it ."
Lol oooh shyt S/O to my big cuzzo  she fun to beh around nd she beh hype AF nd Dope,"Lol, oh shoot, shout out to my big cousin . She’s fun to be around and she’s really energetic and awesome.",Lol oooh shyt S / O to my,big cuzzo she fun to beh around nd she beh hype AF nd Dope,"Lol , oh shoot ,",shout out to my big cousin . She ’ s fun to be around and she ’ s really energetic and awesome .
Ipromise mrs Pratt Jackson is one of the funniest mean teachers eht LSP especially when she beh cussin TTFO,"I promise Mrs. Pratt Jackson is one of the funniest mean teachers at LSP, especially when she’s cussing people out.",Ipromise mrs Pratt Jackson is one of the funniest,mean teachers eht LSP especially when she beh cussin TTFO,"I promise Mrs . Pratt Jackson is one of the funniest mean teachers at LSP , especially when she",’ s cussing people out .
Just made it home wild day wit my nighas first time gettin out since ii beh stayin to my self,Just made it home. Wild day with my friends—first time going out since I’ve been keeping to myself.,Just made it home,wild day wit my nighas first time gettin out since ii beh stayin to my self,Just made it home . Wild day with my friends — first time going out,since I ’ ve been keeping to myself .
Wait wait don't get offended about my tweets unless yhu are what my tweets describe!,"Wait, wait, don’t get offended by my tweets unless you are the person my tweets are describing!",Wait wait don ' t get,offended about my tweets unless yhu are what my tweets describe !,"Wait , wait , don ’ t get",offended by my tweets unless you are the person my tweets are describing !
Could've been on principal list if ii had one more point in social studies had a 79<<<,I could have been on the principal’s list if I had gotten one more point in social studies—I had a 79.,Could ' ve been on,principal list if ii had one more point in social studies had a 79 < < <,I could have been on,the principal ’ s list if I had gotten one more point in social studies — I had a 79 .
superintendent list is all A's principal list is all A's nd B's honor roll is A's B's nd 1 C,"The superintendent’s list is all A’s, the principal’s list is all A’s and B’s, and the honor roll is A’s, B’s, and one C.",superintendent list is all A ' s principal list is all A ' s nd B ' s honor roll is A ' s B,' s nd 1 C,The superintendent ’ s,"list is all A ’ s , the principal ’ s list is all A ’ s and B ’ s , and the honor roll is A ’ s , B ’ s , and one C ."
Iswear if y'all dumb asses think LSP cancel school y'all smokin crack it can beh a tornado in the school nd we gone stay in thea,"I swear, if you all really think LSP will cancel school, you must be out of your mind. There could be a tornado in the school and we would still have to stay there.",Iswear if y ' all dumb asses think LSP,cancel school y ' all smokin crack it can beh a tornado in the school nd we gone stay in thea,"I swear , if you all really think LSP will","cancel school , you must be out of your mind . There could be a tornado in the school and we would still have to stay there ."
Mane girl stop lien ii was eht the door the whole time nd ii could've gave yhu gas money,"Girl, stop lying. I was at the door the whole time and I could have given you gas money.",Mane girl stop lien ii was eht the door,the whole time nd ii could ' ve gave yhu gas money,"Girl , stop lying",. I was at the door the whole time and I could have given you gas money .
I hate to keep people waiting when ii text them that's wy ii reply fast<<,"I don’t like to keep people waiting when I text them, that’s why I reply quickly.",I hate to keep people,waiting when ii text them that ' s wy ii reply fast < <,I don ’ t like,"to keep people waiting when I text them , that ’ s why I reply quickly ."
"""In other Greek news, it's #GeorgeWCarverDay. This is first Black Holiday approved by the US since 1943.""","In other Greek news, it’s #GeorgeWCarverDay. This is the first Black holiday approved by the US since 1943.",""" In other Greek","news , it ' s # GeorgeWCarverDay . This is first Black Holiday approved by the US since 1943 . ""","In other Greek news , it",’ s # GeorgeWCarverDay . This is the first Black holiday approved by the US since 1943 .
""" you said, you have to Think to understand you. I said i'm thinkingand I feel I know you already.""",""", you said I have to think to understand you. I said I'm thinking, and I feel like I already know you.""",""" you said , you have to Think to understand you . I said i ' m thinkingand I feel I know","you already . """,""" , you said I have to think to understand you . I said I ' m thinking , and I feel like","I already know you . """
niggas aint got nun better to but hate on nigga i knoe i look gud dis niggs calling me ugly wow nigga kill yourself,"People don’t have anything better to do but hate on me. I know I look good, and these guys are calling me ugly—wow. Man, go away.",niggas aint got nun,better to but hate on nigga i knoe i look gud dis niggs calling me ugly wow nigga kill yourself,"People don ’ t have anything better to do but hate on me . I know I look good , and these guys are calling me ugly — wow",". Man , go away ."
I hate wen my dad put the gorilla grip on soda bottles I can't never get none ! smh,I hate when my dad puts the gorilla grip on soda bottles; I can never get any! Shaking my head.,I hate wen my dad,put the gorilla grip on soda bottles I can ' t never get none ! smh,I hate when my dad puts the gorilla grip on soda bottles ; I can never get,any ! Shaking my head .
Wish I could get like another 2 hour nap that way I would b more awake,I wish I could get another two-hour nap so that I would be more awake.,Wish I could get like another,2 hour nap that way I would b more awake,I wish I could get another,two - hour nap so that I would be more awake .
These bitches  trying to talk shit but on facebook in twitter in me in rikia clothes,"These women are trying to talk badly about me, but they're on Facebook and Twitter wearing my and Rikia's clothes.",These bitches trying to talk shit but on facebook in twitter in,me in rikia clothes,"These women are trying to talk badly about me , but they ' re on Facebook and Twitter wearing my",and Rikia ' s clothes .
"""this , Rikia .. One thing these bitches fail to see is ; Mye my fuckn sister while getting in family shit we gone fight & argue .""","This, Rikia... One thing these people fail to see is: Mye is my sister, and while we may get into family issues, we’re going to fight and argue.",""" this , Rikia . . One","thing these bitches fail to see is ; Mye my fuckn sister while getting in family shit we gone fight & argue . ""","This , Rikia . . . One thing these people fail to see is :","Mye is my sister , and while we may get into family issues , we ’ re going to fight and argue ."
dmn u betta act right nd u Diddent have nun to do wit it,"Damn, you better act right and you didn’t have anything to do with it.",dmn u betta act right nd u Diddent have nun,to do wit it,"Damn , you better act right and you",didn ’ t have anything to do with it .
When you feel lost & don't know what to do just pray & pray god will see you through,"When you feel lost and don't know what to do, just pray and trust that God will see you through.",When you feel lost & don ' t know what,to do just pray & pray god will see you through,When you feel lost and don ' t know what,"to do , just pray and trust that God will see you through ."
I have been knocked out since I got off!! But I'm heading back into work,"I have been exhausted since I got off, but I’m heading back to work.",I have been knocked out since I,got off ! ! But I ' m heading back into work,I have been exhausted since I got,"off , but I ’ m heading back to work ."
I'm happy alone because ik that I deserve better! If you like getting treated like shit then I fucking love it,"I’m happy being alone because I know that I deserve better! If you like being treated poorly, then by all means, enjoy it.",I ' m happy alone because ik that I deserve better ! If you like getting treated like shit then,I fucking love it,I ’ m happy being alone because I know that I,"deserve better ! If you like being treated poorly , then by all means , enjoy it ."
I'm not into wearing dresses but I guess I'll wear it for one night your so lucky,"I'm not really into wearing dresses, but I guess I'll wear one for one night. You're so lucky, .",I ' m not into wearing dresses but I guess I ' ll wear it for one,night your so lucky,"I ' m not really into wearing dresses , but I guess I ' ll wear one for one night . You","' re so lucky , ."
who said I was going to do anything wrong? You might actually enjoy the visit,Who said I was going to do anything wrong? You might actually enjoy the visit.,who said I was going to do anything wrong ? You,might actually enjoy the visit,Who said I was going to do anything wrong ? You,might actually enjoy the visit .
I'm over here crying I know exactly how  feels! I'm so sorry hun you put yourself out there&we got to see a totally different side,"I’m over here crying—I know exactly how  feels! I’m so sorry, hun. You put yourself out there and we got to see a completely different side of you.",I ' m over here crying I know exactly how feels ! I ' m so sorry hun you put yourself out there & we got to see,a totally different side,I ’ m over here,"crying — I know exactly how feels ! I ’ m so sorry , hun . You put yourself out there and we got to see a completely different side of you ."
I've been up since 5:46am! Idk how I'm still awake but it's all about my motivation :),"I have been up since 5:46 a.m.! I don’t know how I’m still awake, but it’s all about my motivation. :)",I ' ve been,up since 5 : 46am ! Idk how I ' m still awake but it ' s all about my motivation : ),"I have been up since 5 : 46 a . m . ! I don ’ t know how I ’ m still awake ,",but it ’ s all about my motivation . : )
I'm hungry but Idk what I want to eat! I need to hit up the store asap,"I’m hungry, but I don’t know what I want to eat! I need to go to the store as soon as possible.",I ' m hungry but Idk what I want to eat,! I need to hit up the store asap,"I ’ m hungry , but I don ’ t know what I want to eat ! I need to go to the store",as soon as possible .
Wait a minute I think I just got hung up on! WTF now I'm pissed!!!!!!   LMFAO,"Wait a minute, I think someone just hung up on me! What the heck, now I’m really angry!   LOL",Wait a minute I think I just,got hung up on ! WTF now I ' m pissed ! ! ! ! ! ! LMFAO,"Wait a minute , I think someone","just hung up on me ! What the heck , now I ’ m really angry ! LOL"
Lolz it's the 1st Friday of the new year I don't have to work!,"Lol, it's the first Friday of the new year and I don't have to work!",Lolz it ' s,the 1st Friday of the new year I don ' t have to work !,"Lol , it ' s",the first Friday of the new year and I don ' t have to work !
DAMN THINKING ABOUT THAT SITUATION I USED THIS STATEMENT IN IS MAKING ME MAD AGAIN!!!!! LMFAO LBVFS,"Wow, thinking about the situation I used that statement in is making me angry again! LOL",DAMN THINKING ABOUT THAT,SITUATION I USED THIS STATEMENT IN IS MAKING ME MAD AGAIN ! ! ! ! ! LMFAO LBVFS,"Wow , thinking about the",situation I used that statement in is making me angry again ! LOL
Got my books for class! Got my school id replaced now I'm waiting on my next class,"I got my books for class! I got my school ID replaced, and now I'm waiting for my next class.",Got my books for class,! Got my school id replaced now I ' m waiting on my next class,"I got my books for class ! I got my school ID replaced , and now I ' m waiting",for my next class .
These basic females worry me! Like focus on school getting a job/working bettering yourself & stop focusing on these non fucking factors!,"These basic females worry me! Focus on school, getting a job, improving yourself, and stop paying attention to these irrelevant people!",These basic females worry me,! Like focus on school getting a job / working bettering yourself & stop focusing on these non fucking factors !,"These basic females worry me ! Focus on school , getting a job , improving yourself , and stop paying attention",to these irrelevant people !
My sociology professor gave us an assignment & she must not understand how shy I am!,"My sociology professor gave us an assignment, and she must not realize how shy I am!",My sociology professor gave us an assignment & she must not understand how,shy I am !,"My sociology professor gave us an assignment , and she must not realize how",shy I am !
It's hard to find ppl that will stand beside you through the good&the bad &even though you don't talk everyday that love is still there!,"It’s hard to find people who will stand by you through the good and the bad, and even though you don’t talk every day, that love is still there!",It ' s hard to find ppl that will stand beside you through the good & the bad & even though you don ' t talk everyday that love,is still there !,"It ’ s hard to find people who will stand by you through the good and the bad , and even though you don ’ t talk every day , that love",is still there !
Wide awake! I'm trying to relax so I can head back to bed but it doesn't seem to be working I might have to take some of my medicine,"Wide awake! I’m trying to relax so I can go back to bed, but it doesn’t seem to be working. I might have to take some of my medicine.",Wide awake ! I ' m trying to relax so I can head back to bed but it doesn ' t seem to be working I might have,to take some of my medicine,"Wide awake ! I ’ m trying to relax so I can go back to bed , but it doesn ’ t seem to be working . I might have",to take some of my medicine .
I have to stay to myself at Monroe It's  alot of fake bitches.... Even niggas,"I have to keep to myself at Monroe. There are a lot of fake people, both women and men.",I have to stay to myself at Monroe It ' s alot,of fake bitches . . . . Even niggas,I have to keep to,"myself at Monroe . There are a lot of fake people , both women and men ."
well shit i got cha then nexts Chance i get which is soon..  Daughter told me i need to come get her Now,"Well, I’ve got you then—the next chance I get, which is soon. My daughter told me I need to come get her now.",well shit i got cha then,nexts Chance i get which is soon . . Daughter told me i need to come get her Now,"Well , I ’ ve","got you then — the next chance I get , which is soon . My daughter told me I need to come get her now ."
i kno it do that on its owns.. Urs sent me one once before tho,"I know it does that on its own. Yours sent me one once before, though.",i kno it do that on its owns . . Urs sent me,one once before tho,I know it does that on its own . Yours sent me,"one once before , though ."
One thang my Daddy Taught me was to Lay da Dick Down Right da First Time ...,One thing my father taught me was to have sex properly the first time.,One thang my Daddy Taught me was to Lay da Dick Down Right da First,Time . . .,One thing my father taught me was to have sex properly,the first time .
kool Keep me Post on Everything So i can b Ready.. Damn My Brother Gettin Marry..,"Cool. Keep me posted on everything so I can be ready. Damn, my brother is getting married.",kool Keep me Post on,Everything So i can b Ready . . Damn My Brother Gettin Marry . .,"Cool . Keep me posted on everything so I can be ready . Damn , my brother",is getting married .
I have to Beat my child Dresdin like that at 14... Brook i love u dont Do it baby,"I have to discipline my child Dresdin like that at 14... Brook, I love you. Don’t do it, baby.",I have to Beat,my child Dresdin like that at 14 . . . Brook i love u dont Do it baby,"I have to discipline my child Dresdin like that at 14 . . . Brook , I love you . Don ’ t do","it , baby ."
yea Huh I kno i try to smoke  with u for about a year,"Yeah, huh, I know—I’ve been trying to smoke with you for about a year.",yea Huh I kno i,try to smoke with u for about a year,"Yeah , huh , I know — I ’ ve been trying",to smoke with you for about a year .
"""Got my weed , some cable , and some pomegranate lemonade ... Life :) with ""","I have my marijuana, some cable television, and some pomegranate lemonade... Life is good :) with",""" Got my weed , some cable , and some pomegranate lemonade . . . Life",": ) with ""","I have my marijuana , some cable television , and some pomegranate lemonade . . . Life",is good : ) with
"""It's like once you like somebody ALOT, it's impossible to back back to being just their friend.""","""It's like once you really like someone, it's impossible to go back to being just their friend.""",""" It ' s like once you like somebody ALOT , it ' s impossible to back back to being","just their friend . """,""" It ' s like once you really like someone , it ' s impossible to go back to being","just their friend . """
"""Sex drive when you swerve I want that interference, it's coherent, I can hear it. Mmhmm""","Sex drive—when you change direction, I want that interference; it makes sense, I can hear it. Mmhmm.",""" Sex drive when","you swerve I want that interference , it ' s coherent , I can hear it . Mmhmm """,Sex drive — when,"you change direction , I want that interference ; it makes sense , I can hear it . Mmhmm ."
Shoutout to my Junior Drama majors tho ! We KILLED that stage tonight ! Shoutout to tomorrow !!! Love you guys !,Shoutout to my Junior Drama majors! We did an amazing job on stage tonight! Looking forward to tomorrow! Love you all!,Shoutout to my Junior Drama majors tho ! We KILLED that stage tonight ! Shoutout to tomorrow ! ! !,Love you guys !,Shoutout to my Junior Drama majors ! We did an amazing job on stage,tonight ! Looking forward to tomorrow ! Love you all !
I swear u will never find a squad like us a squad dat shine bright in dark like us,"I swear you will never find a squad like us, a squad that shines bright in the dark like we do.",I swear u will never,find a squad like us a squad dat shine bright in dark like us,I swear you will never find,"a squad like us , a squad that shines bright in the dark like we do ."
""" oh ard, u steal a nigga girl yet cuz u kno they luv them uptop niggas lol""",""" Oh, alright, have you stolen someone's girl yet? Because you know they love those guys from uptown, lol.""",""" oh ard ,","u steal a nigga girl yet cuz u kno they luv them uptop niggas lol """,""" Oh , alright ,","have you stolen someone ' s girl yet ? Because you know they love those guys from uptown , lol . """
lol cool. Well now food wise can be pushed at 7?  I may cut 6 too close lol,"lol cool. Well, regarding food, can we move it to 7? I might be cutting it too close at 6 lol",lol cool . Well,now food wise can be pushed at 7 ? I may cut 6 too close lol,"lol cool . Well , regarding food , can",we move it to 7 ? I might be cutting it too close at 6 lol
